doi,satis,confirm,ideal,comp,handle,nocomp
2024-04-08,4,3,3,0,,2
2024-03-07,7,8,9,0,,1
40,9,10,9,0,,1
1,7,8,8,0,,1
249,8,8,8,0,,1
2024-05-27,8,8,8,0,,1
356,8,8,8,0,,1
2024-08-30,8,5,5,0,,1
145,7,3,2,0,,1
2024-12-30,10,9,9,0,,1
290,7,6,8,0,,1
2024-12-24,7,7,8,0,,1
2024-07-11,9,8,7,0,,1
250,6,6,5,1,5,
311,9,8,8,0,,1
76,6,9,8,0,,1
176,9,8,9,0,,1
286,8,7,8,0,,1
2024-06-25,10,8,7,0,,1
20,6,6,7,0,,1
2024-11-01,8,7,8,0,,1
2024-01-04,5,5,4,0,,1
2024-07-13,8,7,9,0,,1
235,9,9,10,0,,1
226,8,9,9,0,,1
61,5,4,5,0,,1
357,7,9,8,0,,1
144,7,6,6,0,,1
12,6,7,5,0,,1
360,8,10,8,0,,1
306,9,10,9,0,,1
2024-03-25,7,7,8,0,,1
233,9,9,9,0,,1
2024-07-01,6,5,5,1,5,
2024-07-31,10,9,9,0,,1
2024-05-31,6,6,6,0,,1
117,4,5,5,0,,1
134,10,10,10,0,,1
2024-11-15,9,8,8,0,,1
97,8,9,9,0,,1
2024-09-15,8,6,7,0,,1
271,5,5,5,0,,1
217,7,9,8,0,,1
271,7,7,7,0,,1
340,9,10,8,0,,1
157,5,7,7,0,,1
2024-05-09,6,5,6,0,,1
177,8,7,8,0,,1
132,7,6,6,0,,1
128,6,6,7,0,,1
2024-09-02,5,5,6,0,,1
2024-04-24,7,8,7,0,,1
2024-07-18,7,6,6,0,,1
287,8,7,8,0,,1
112,4,4,5,0,,1
2024-03-02,8,6,7,0,,1
338,9,6,6,0,,1
2024-02-15,7,5,6,0,,1
308,7,7,7,0,,1
2024-11-08,9,8,8,0,,1
270,8,8,8,0,,1
2024-02-20,7,8,8,0,,1
2024-06-20,9,9,10,0,,1
338,8,9,8,0,,1
2024-03-26,7,6,9,0,,1
139,8,8,9,0,,1
2024-03-19,8,6,6,1,7,
338,8,9,8,0,,1
360,10,8,7,0,,1
2024-02-27,5,5,6,0,,2
301,5,5,6,0,,1
2024-08-27,5,5,5,0,,2
293,7,5,6,0,,3
18,7,5,6,0,,1
305,7,9,8,0,,1
2024-01-14,8,7,8,0,,1
2024-08-31,8,9,8,0,,1
2024-03-25,7,4,5,0,,2
2024-02-28,7,8,9,0,,1
36,6,7,6,0,,1
2024-01-08,6,4,3,0,,1
2024-10-21,10,7,9,0,,1
2024-12-19,8,10,9,0,,1
2024-06-02,9,8,8,0,,1
2024-03-15,7,7,5,0,,2
275,7,8,6,0,,1
2024-03-01,9,7,6,0,,1
2024-07-23,8,8,9,0,,1
109,6,7,6,0,,1
300,10,7,7,0,,1
79,6,6,7,1,6,
2024-08-11,8,6,6,0,,1
